date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-12-22,45,105,35,5177501,44
2024-12-23,13,32,19,1553580,13
2024-12-24,15,33,23,1440600,15
2024-12-25,9,31,10,1312210,9
2024-12-26,29,76,29,2850230,28
2024-12-27,37,109,31,4565480,36
2024-12-28,48,128,40,6779372,48
2024-12-29,50,159,44,7983162,50
2024-12-30,42,132,35,6182463,41
2024-12-31,44,142,37,6382324,42
2025-01-01,23,87,25,3323714,23
2025-01-02,45,142,42,6174095,44
2025-01-03,46,159,46,7722356,46
2025-01-04,42,122,35,6660095,42
2025-01-05,9,38,9,1399740,9
2025-01-06,13,34,17,1878500,12
2025-01-07,6,26,15,1328970,6
2025-01-08,11,60,12,2065117,10
2025-01-09,5,19,7,586700,5
2025-01-10,17,36,23,1818630,16
2025-01-11,42,105,37,5126477,39
2025-01-12,38,96,33,4999472,38
2025-01-13,16,43,19,1990830,16
2025-01-14,6,11,6,602700,6
2025-01-15,6,65,14,791700,6
2025-01-16,8,14,8,921600,8
2025-01-17,20,84,25,1901371,20
2025-01-18,35,185,43,4331179,35
2025-01-19,9,29,16,1043187,9
2025-01-20,8,20,8,1113310,8
2025-01-21,11,35,14,1369550,11
2025-01-22,4,9,11,539600,4
2025-01-23,5,15,5,752400,5
2025-01-24,26,57,23,3075170,26
2025-01-25,17,53,25,2306200,16
2025-01-26,14,36,22,1662825,14
2025-01-27,10,38,16,2101400,8
2025-01-28,10,63,19,2122800,10
2025-01-29,14,44,15,2188600,13
2025-01-30,8,21,9,1002310,7
2025-01-31,12,52,21,1176366,11
2025-02-01,13,73,25,2574921,13
2025-02-02,4,13,11,667500,4
2025-02-03,6,12,6,616601,6
2025-02-04,3,29,4,191080,3
2025-02-05,5,13,4,635800,4
2025-02-06,2,13,3,514800,2
2025-02-07,17,58,26,2361300,17
2025-02-08,21,118,23,3197314,21
2025-02-09,26,60,29,2942900,26
2025-02-10,9,36,20,1204728,9
2025-02-11,8,22,9,1410100,8
2025-02-12,5,12,9,165000,5
2025-02-13,7,39,11,1009861,7
2025-02-14,7,68,14,1369410,7
2025-02-15,10,49,21,1971640,10
2025-02-16,6,12,6,549281,6
2025-02-17,7,13,12,540740,7
2025-02-18,3,9,3,358920,3
2025-02-19,6,20,9,730024,6
2025-02-20,5,57,5,550160,5
2025-02-21,7,18,8,742200,7
2025-02-22,23,70,30,3246311,22
2025-02-23,23,58,21,3401056,23
2025-02-24,5,13,5,749931,5
2025-02-25,0,0,0,0,0
2025-02-26,1,5,1,280500,1
2025-02-27,6,19,6,745340,6
2025-02-28,4,9,4,241800,4
2025-03-01,7,15,7,834000,7
2025-03-02,4,11,4,438380,4
2025-03-03,2,4,2,337800,2
2025-03-04,0,0,0,0,0
2025-03-05,1,2,8,159520,1
2025-03-06,3,9,3,275500,3
2025-03-07,6,30,16,1304880,6
2025-03-08,13,35,12,2203718,13
2025-03-09,8,23,8,1044450,8
2025-03-10,1,2,1,143000,1
2025-03-11,1,3,1,148500,1
2025-03-12,0,0,0,0,0
2025-03-13,3,8,4,286600,3
2025-03-14,6,12,6,1007000,6
2025-03-15,8,20,8,1223600,8
2025-03-16,3,4,3,200200,3
2025-03-17,3,6,3,319900,3
2025-03-18,0,0,0,0,0
2025-03-19,4,8,4,456600,4
2025-03-20,4,9,4,443700,4
2025-03-21,5,14,5,380300,5
2025-03-22,6,15,7,629460,6
